OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
Copa Air,1,I,Ciudad de Panama,Viernes,0
Grupo LATAM,2,N,Copiapo,Domingo,0
JetSmart SPA,11,N,Puerto Montt,Jueves,0
Grupo LATAM,8,N,Concepcion,Jueves,0
Latin American Wings,11,I,Lima,Miercoles,0
Grupo LATAM,6,I,Mendoza,Lunes,0
Grupo LATAM,8,N,Puerto Montt,Martes,0
Grupo LATAM,7,N,Antofagasta,Miercoles,0
Sky Airline,7,N,Temuco,Martes,0
JetSmart SPA,12,N,Antofagasta,Sabado,0
JetSmart SPA,11,N,Calama,Lunes,0
Sky Airline,7,N,Antofagasta,Viernes,1
Sky Airline,5,N,Antofagasta,Martes,0
Grupo LATAM,4,I,Lima,Sabado,0
Sky Airline,8,N,Iquique,Sabado,0
Grupo LATAM,7,N,Isla de Pascua,Lunes,0
Grupo LATAM,4,N,Concepcion,Domingo,0
Grupo LATAM,12,N,Copiapo,Viernes,0
Grupo LATAM,7,N,Calama,Sabado,0
Grupo LATAM,11,I,Madrid,Domingo,0
Grupo LATAM,10,N,Antofagasta,Lunes,0
Grupo LATAM,9,N,Calama,Lunes,1
Grupo LATAM,8,I,Lima,Sabado,1
Grupo LATAM,7,I,Guayaquil,Sabado,0
Grupo LATAM,10,N,Puerto Montt,Viernes,0
Latin American Wings,6,N,Concepcion,Martes,0
Grupo LATAM,6,I,Sao Paulo,Domingo,1
Sky Airline,8,N,Puerto Montt,Viernes,0
Grupo LATAM,4,N,Puerto Montt,Martes,0
Latin American Wings,7,N,Puerto Montt,Lunes,0
Grupo LATAM,5,N,Valdivia,Martes,0
Latin American Wings,7,N,Concepcion,Domingo,0
Grupo LATAM,9,N,Calama,Jueves,0
Grupo LATAM,12,N,Punta Arenas,Miercoles,0
Grupo LATAM,12,N,Temuco,Jueves,0
Sky Airline,1,N,Iquique,Domingo,0
Sky Airline,10,N,Calama,Martes,0
Grupo LATAM,4,I,Rio de Janeiro,Sabado,0
Grupo LATAM,4,I,Sao Paulo,Jueves,0
Grupo LATAM,2,N,La Serena,Jueves,1
Latin American Wings,3,I,Lima,Jueves,0
Grupo LATAM,8,N,Calama,Jueves,0
Grupo LATAM,6,N,Temuco,Domingo,0
Grupo LATAM,12,I,Buenos Aires,Jueves,0
Grupo LATAM,12,N,Calama,Lunes,0
Grupo LATAM,12,I,Bogota,Jueves,1
Grupo LATAM,5,N,Antofagasta,Jueves,0
Sky Airline,6,I,Lima,Viernes,0
Grupo LATAM,12,N,Iquique,Martes,0
Avianca,5,I,Bogota,Martes,0
Grupo LATAM,10,N,Punta Arenas,Sabado,1
Sky Airline,1,N,Iquique,Domingo,0
Grupo LATAM,5,I,Ciudad de Mexico,Jueves,0
Grupo LATAM,1,N,Antofagasta,Jueves,0
Grupo LATAM,9,I,Buenos Aires,Lunes,1
Aeromexico,2,I,Ciudad de Mexico,Viernes,0
Grupo LATAM,5,N,Puerto Montt,Martes,0
Sky Airline,12,N,Antofagasta,Martes,1
Latin American Wings,8,I,Lima,Lunes,1
Copa Air,5,I,Ciudad de Panama,Jueves,0
Grupo LATAM,12,I,Lima,Martes,0
Delta Air,5,I,Atlanta,Martes,0
Grupo LATAM,10,N,Punta Arenas,Martes,0
Grupo LATAM,5,N,Puerto Montt,Miercoles,0
Grupo LATAM,10,I,Buenos Aires,Viernes,1
Grupo LATAM,11,N,Temuco,Sabado,0
Grupo LATAM,2,I,Rio de Janeiro,Domingo,0
Grupo LATAM,7,N,Puerto Montt,Jueves,0
Grupo LATAM,6,N,Concepcion,Viernes,0
Delta Air,12,I,Atlanta,Martes,0
Grupo LATAM,1,I,Auckland N.Z.,Jueves,0
Sky Airline,12,N,Valdivia,Domingo,1
Grupo LATAM,5,N,Temuco,Miercoles,0
Grupo LATAM,8,N,Iquique,Domingo,0
Sky Airline,8,N,Iquique,Miercoles,0
Grupo LATAM,5,I,Rio de Janeiro,Domingo,0
Sky Airline,12,N,La Serena,Jueves,0
Grupo LATAM,11,N,Punta Arenas,Miercoles,0
Grupo LATAM,2,I,Montevideo,Viernes,1
Grupo LATAM,7,N,Concepcion,Sabado,0
Grupo LATAM,8,N,Antofagasta,Domingo,0
Grupo LATAM,4,I,Cancun,Sabado,0
Grupo LATAM,2,I,Florianapolis,Domingo,0
Aerolineas Argentinas,3,I,Buenos Aires,Domingo,0
Grupo LATAM,2,I,Buenos Aires,Domingo,0
Grupo LATAM,5,N,Antofagasta,Lunes,0
Grupo LATAM,6,N,Concepcion,Viernes,0
Grupo LATAM,7,I,Buenos Aires,Jueves,0
Grupo LATAM,5,I,Sao Paulo,Martes,0
Grupo LATAM,8,N,Puerto Montt,Viernes,0
Aerolineas Argentinas,8,I,Buenos Aires,Miercoles,1
Grupo LATAM,5,N,Punta Arenas,Viernes,0
Grupo LATAM,8,N,Puerto Montt,Viernes,0
Sky Airline,9,N,Antofagasta,Sabado,0
Grupo LATAM,11,I,Buenos Aires,Lunes,0
Grupo LATAM,12,N,Antofagasta,Miercoles,0
Sky Airline,8,I,Cordoba,Lunes,0
Grupo LATAM,10,I,Cordoba,Sabado,0
Copa Air,9,I,Ciudad de Panama,Sabado,0
Sky Airline,2,N,Temuco,Jueves,1
Sky Airline,3,N,Antofagasta,Miercoles,0
Grupo LATAM,1,N,Valdivia,Jueves,0
Grupo LATAM,7,N,Isla de Pascua,Miercoles,0
Grupo LATAM,9,N,Puerto Montt,Viernes,0
Grupo LATAM,1,N,Puerto Montt,Sabado,0
Grupo LATAM,7,N,Iquique,Lunes,0
Grupo LATAM,5,N,Punta Arenas,Miercoles,0
Grupo LATAM,12,N,Temuco,Lunes,0
Sky Airline,5,I,Lima,Miercoles,0
Sky Airline,11,N,La Serena,Domingo,1
Aerolineas Argentinas,3,I,Buenos Aires,Domingo,0
JetSmart SPA,11,N,Antofagasta,Domingo,0
Grupo LATAM,5,I,Rio de Janeiro,Viernes,1
Sky Airline,12,N,Temuco,Viernes,0
Alitalia,9,I,Roma,Viernes,0
Gol Trans,8,I,Sao Paulo,Domingo,0
Grupo LATAM,8,I,Rio de Janeiro,Martes,0
Grupo LATAM,1,N,Puerto Montt,Sabado,0
Sky Airline,3,N,Puerto Montt,Viernes,0
Air France,12,I,Paris,Domingo,0
Air Canada,1,I,Buenos Aires,Jueves,0
Sky Airline,4,N,Temuco,Sabado,0
Copa Air,6,I,Ciudad de Panama,Domingo,0
Sky Airline,3,I,Lima,Viernes,0
Grupo LATAM,2,N,Temuco,Miercoles,0
JetSmart SPA,12,N,Antofagasta,Viernes,0
Sky Airline,7,N,Calama,Jueves,0
Grupo LATAM,1,I,Ciudad de Mexico,Jueves,0
Grupo LATAM,2,N,Iquique,Sabado,0
Grupo LATAM,8,I,Bogota,Lunes,0
Grupo LATAM,12,N,Copiapo,Lunes,0
Grupo LATAM,11,N,Iquique,Sabado,0
Latin American Wings,12,I,Lima,Domingo,0
Grupo LATAM,3,I,Rio de Janeiro,Domingo,0
Sky Airline,10,N,Puerto Montt,Lunes,0
Grupo LATAM,2,I,Bogota,Martes,0
Aerolineas Argentinas,10,I,Buenos Aires,Domingo,1
Sky Airline,4,N,Calama,Martes,0
Grupo LATAM,11,N,Iquique,Jueves,0
Grupo LATAM,6,I,Lima,Jueves,1
Grupo LATAM,7,N,Isla de Pascua,Martes,1
Grupo LATAM,1,I,Madrid,Sabado,0
Grupo LATAM,9,I,Lima,Viernes,0
Grupo LATAM,6,N,Concepcion,Miercoles,0
Grupo LATAM,12,I,Cordoba,Sabado,0
Grupo LATAM,4,N,Arica,Lunes,0
Grupo LATAM,7,I,Buenos Aires,Sabado,1
Grupo LATAM,7,I,Buenos Aires,Jueves,1
Grupo LATAM,2,N,Punta Arenas,Viernes,0
Air Canada,9,I,Buenos Aires,Sabado,1
Grupo LATAM,10,N,Calama,Lunes,0
Grupo LATAM,5,N,Iquique,Jueves,0
Sky Airline,12,I,Buenos Aires,Jueves,0
Gol Trans,9,I,Sao Paulo,Miercoles,0
Iberia,11,I,Madrid,Martes,0
Copa Air,2,I,Ciudad de Panama,Jueves,0
Grupo LATAM,2,N,Antofagasta,Miercoles,0
Grupo LATAM,5,N,Concepcion,Viernes,0
Aerolineas Argentinas,4,I,Buenos Aires,Miercoles,1
Grupo LATAM,7,N,Balmaceda,Jueves,1
Alitalia,8,I,Roma,Jueves,1
Sky Airline,11,N,Arica,Domingo,0
Grupo LATAM,11,I,Buenos Aires,Lunes,0
Grupo LATAM,1,N,Antofagasta,Domingo,0
Grupo LATAM,12,N,Calama,Domingo,1
Sky Airline,2,N,Temuco,Sabado,0
Sky Airline,10,N,Calama,Martes,0
Grupo LATAM,12,I,Buenos Aires,Sabado,0
Grupo LATAM,10,N,Antofagasta,Jueves,1
Grupo LATAM,5,N,Temuco,Viernes,0
Aerolineas Argentinas,4,I,Buenos Aires,Martes,0
Grupo LATAM,6,I,Lima,Martes,0
Grupo LATAM,1,N,Puerto Montt,Viernes,1
Grupo LATAM,10,N,La Serena,Jueves,0
Grupo LATAM,2,I,Cordoba,Domingo,0
Grupo LATAM,8,N,Puerto Montt,Miercoles,0
Grupo LATAM,3,I,Lima,Lunes,0
Grupo LATAM,7,N,Copiapo,Sabado,0
Grupo LATAM,6,N,Concepcion,Domingo,0
Grupo LATAM,5,I,Nueva York,Martes,0
Grupo LATAM,10,N,Balmaceda,Viernes,0
Aerolineas Argentinas,2,I,Buenos Aires,Viernes,1
Copa Air,8,I,Ciudad de Panama,Sabado,0
Grupo LATAM,11,N,Arica,Sabado,0
Aerolineas Argentinas,8,I,Buenos Aires,Lunes,0
Grupo LATAM,7,N,Puerto Montt,Viernes,1
Sky Airline,1,N,Calama,Lunes,0
Sky Airline,8,I,Lima,Martes,0
Sky Airline,6,N,La Serena,Martes,0
Grupo LATAM,7,I,Lima,Martes,0
Grupo LATAM,3,N,Puerto Montt,Domingo,0
Sky Airline,3,N,Calama,Viernes,1
Grupo LATAM,8,I,Bogota,Sabado,1
Grupo LATAM,11,N,Balmaceda,Jueves,0
Grupo LATAM,1,N,Arica,Martes,0
Grupo LATAM,1,N,Iquique,Viernes,0
Sky Airline,8,N,Temuco,Sabado,0
Grupo LATAM,11,N,Puerto Montt,Domingo,0
Grupo LATAM,5,I,Buenos Aires,Miercoles,0
Sky Airline,2,N,Puerto Montt,Miercoles,0
Sky Airline,4,N,Iquique,Domingo,0
Grupo LATAM,9,N,Antofagasta,Sabado,0
Grupo LATAM,3,I,Guayaquil,Sabado,0
Grupo LATAM,4,N,La Serena,Viernes,0
Grupo LATAM,11,N,Puerto Montt,Domingo,1
Aerolineas Argentinas,6,I,Buenos Aires,Martes,0
Grupo LATAM,9,I,Mendoza,Martes,0
Grupo LATAM,3,I,Cordoba,Miercoles,0
Grupo LATAM,5,N,Arica,Jueves,0
Sky Airline,6,N,Antofagasta,Lunes,1
Grupo LATAM,7,N,La Serena,Domingo,1
Grupo LATAM,7,N,Concepcion,Miercoles,1
Sky Airline,5,I,Buenos Aires,Viernes,0
Grupo LATAM,12,I,Sao Paulo,Sabado,0
Grupo LATAM,6,I,Nueva York,Miercoles,1
Latin American Wings,5,N,Puerto Montt,Jueves,0
Sky Airline,11,I,Lima,Viernes,0
Sky Airline,9,I,Lima,Domingo,0
Grupo LATAM,8,N,Antofagasta,Martes,0
Grupo LATAM,3,N,Arica,Jueves,0
Grupo LATAM,11,N,Antofagasta,Sabado,0
Gol Trans,2,I,Sao Paulo,Viernes,0
Latin American Wings,4,N,Concepcion,Lunes,0
Air Canada,10,I,Toronto,Domingo,0
Grupo LATAM,6,I,Sao Paulo,Sabado,1
Grupo LATAM,5,N,Calama,Martes,1
Grupo LATAM,12,N,Punta Arenas,Martes,0
Grupo LATAM,9,N,Temuco,Viernes,0
Grupo LATAM,8,N,Puerto Montt,Domingo,1
Sky Airline,12,N,Temuco,Domingo,0
Grupo LATAM,8,N,Antofagasta,Jueves,0
Copa Air,11,I,Ciudad de Panama,Martes,0
Grupo LATAM,8,I,Montevideo,Domingo,0
Sky Airline,12,N,Iquique,Miercoles,0
Sky Airline,12,N,Puerto Montt,Miercoles,0
Grupo LATAM,12,I,Sao Paulo,Martes,1
Grupo LATAM,10,N,Puerto Montt,Viernes,1
Grupo LATAM,7,I,Cordoba,Domingo,0
Grupo LATAM,10,I,Lima,Jueves,0
Grupo LATAM,8,I,Sao Paulo,Miercoles,1
Grupo LATAM,1,N,Iquique,Jueves,0
Grupo LATAM,8,N,Concepcion,Miercoles,0
Grupo LATAM,9,I,Bogota,Martes,0
Grupo LATAM,1,N,Antofagasta,Miercoles,0
Iberia,11,I,Madrid,Domingo,0
Grupo LATAM,12,I,Lima,Domingo,1
Sky Airline,4,N,Calama,Miercoles,1
Sky Airline,1,N,Punta Arenas,Domingo,0
Grupo LATAM,3,I,Buenos Aires,Jueves,0
Aerolineas Argentinas,6,I,Buenos Aires,Viernes,1
Grupo LATAM,11,N,Valdivia,Domingo,0
Grupo LATAM,10,N,Iquique,Martes,0
Grupo LATAM,4,N,Iquique,Domingo,0
Grupo LATAM,10,N,Puerto Montt,Jueves,1
Grupo LATAM,3,N,Castro (Chiloe),Martes,0
Grupo LATAM,8,N,Copiapo,Lunes,1
Grupo LATAM,10,I,Santa Cruz,Viernes,0
Sky Airline,9,N,Antofagasta,Domingo,0
Grupo LATAM,1,N,Iquique,Martes,0
Grupo LATAM,5,N,Antofagasta,Lunes,0
Grupo LATAM,8,N,Punta Arenas,Miercoles,0
Grupo LATAM,5,I,Rio de Janeiro,Martes,0
Grupo LATAM,11,N,Isla de Pascua,Lunes,0
Grupo LATAM,11,I,Ciudad de Mexico,Jueves,0
Grupo LATAM,5,N,Calama,Martes,0
Grupo LATAM,1,N,Iquique,Jueves,0
Grupo LATAM,3,N,Punta Arenas,Viernes,0
Grupo LATAM,3,I,Buenos Aires,Jueves,0
Grupo LATAM,12,I,Buenos Aires,Miercoles,1
Grupo LATAM,12,N,Punta Arenas,Sabado,1
Grupo LATAM,11,N,Concepcion,Martes,0
Aerolineas Argentinas,1,I,Buenos Aires,Lunes,0
Alitalia,5,I,Roma,Domingo,0
JetSmart SPA,10,N,Copiapo,Miercoles,1
Grupo LATAM,7,N,Temuco,Jueves,0
Grupo LATAM,3,I,Lima,Lunes,0
Grupo LATAM,1,N,Antofagasta,Miercoles,0
Grupo LATAM,10,N,Concepcion,Martes,0
Avianca,2,I,Lima,Sabado,0
Sky Airline,10,N,Concepcion,Martes,0
Grupo LATAM,4,N,Calama,Miercoles,0
Air Canada,11,I,Buenos Aires,Miercoles,1
Sky Airline,1,I,Cordoba,Jueves,0
Grupo LATAM,11,N,Arica,Sabado,0
Sky Airline,11,N,Calama,Viernes,1
Sky Airline,1,N,Antofagasta,Jueves,0
Grupo LATAM,9,N,Balmaceda,Miercoles,0
Grupo LATAM,3,N,Calama,Sabado,0
Air France,9,I,Paris,Martes,0
Grupo LATAM,9,N,Calama,Domingo,0
Copa Air,6,I,Ciudad de Panama,Domingo,0
Grupo LATAM,8,N,Iquique,Domingo,0
Grupo LATAM,10,N,Calama,Miercoles,0
Gol Trans,3,I,Sao Paulo,Miercoles,0
Grupo LATAM,11,I,Rio de Janeiro,Jueves,0
Grupo LATAM,2,N,Puerto Montt,Martes,0
Sky Airline,9,N,Antofagasta,Martes,0
Sky Airline,4,I,Buenos Aires,Miercoles,0
Grupo LATAM,12,I,Buenos Aires,Jueves,0
Grupo LATAM,9,N,Antofagasta,Viernes,0
Qantas Airways,12,I,Sydney,Miercoles,1
Air Canada,6,I,Buenos Aires,Viernes,0
Copa Air,11,I,Ciudad de Panama,Jueves,0
Sky Airline,3,N,Punta Arenas,Sabado,0
Sky Airline,8,I,Buenos Aires,Martes,0
Sky Airline,1,N,Puerto Montt,Martes,0
Sky Airline,3,N,Copiapo,Martes,0
Delta Air,3,I,Atlanta,Domingo,0
Grupo LATAM,3,N,Castro (Chiloe),Martes,1
Grupo LATAM,2,N,Iquique,Domingo,1
Grupo LATAM,8,I,Rio de Janeiro,Lunes,0
Sky Airline,11,N,Puerto Montt,Martes,0
Grupo LATAM,3,I,Buenos Aires,Martes,1
Aeromexico,10,I,Ciudad de Mexico,Viernes,0
Sky Airline,11,I,Montevideo,Lunes,0
K.L.M.,8,I,Buenos Aires,Martes,0
Sky Airline,2,I,Buenos Aires,Jueves,1
Grupo LATAM,1,N,Copiapo,Viernes,0
Grupo LATAM,3,I,Sao Paulo,Sabado,0
Grupo LATAM,3,N,La Serena,Viernes,0
Grupo LATAM,12,I,Mendoza,Viernes,0
Gol Trans,1,I,Sao Paulo,Jueves,1
American Airlines,5,I,Miami,Miercoles,0
Grupo LATAM,5,I,Buenos Aires,Viernes,0
Sky Airline,3,N,Iquique,Martes,0
Grupo LATAM,12,N,Concepcion,Domingo,1
British Airways,2,I,Londres,Miercoles,0
Austral,11,I,Cordoba,Martes,0
Sky Airline,6,N,Concepcion,Viernes,1
Grupo LATAM,6,I,Lima,Viernes,0
Delta Air,6,I,Atlanta,Miercoles,0
Grupo LATAM,6,I,Buenos Aires,Domingo,0
Sky Airline,11,N,Calama,Viernes,0
Gol Trans,12,I,Sao Paulo,Sabado,0
Grupo LATAM,8,I,Lima,Viernes,0
Sky Airline,4,N,Calama,Lunes,0
Aerolineas Argentinas,2,I,Buenos Aires,Lunes,0
Sky Airline,11,I,Cordoba,Domingo,0
Latin American Wings,8,I,Lima,Miercoles,1
Copa Air,5,I,Ciudad de Panama,Domingo,0
Sky Airline,2,N,Concepcion,Martes,0
Air France,2,I,Paris,Martes,0
Aerolineas Argentinas,2,I,Buenos Aires,Martes,0
Avianca,1,I,Bogota,Jueves,1
Grupo LATAM,7,N,Copiapo,Viernes,0
JetSmart SPA,9,N,Puerto Montt,Lunes,1
Grupo LATAM,7,I,Buenos Aires,Sabado,0
Grupo LATAM,3,N,Iquique,Lunes,0
Grupo LATAM,3,N,Antofagasta,Miercoles,0
Grupo LATAM,7,N,La Serena,Sabado,0
Grupo LATAM,2,N,Concepcion,Miercoles,0
Grupo LATAM,10,N,Antofagasta,Sabado,0
Grupo LATAM,5,I,Lima,Miercoles,0
Grupo LATAM,7,I,Buenos Aires,Domingo,1
Grupo LATAM,10,I,Sao Paulo,Domingo,0
Grupo LATAM,5,N,Temuco,Lunes,0
Grupo LATAM,2,N,Punta Arenas,Viernes,0
Grupo LATAM,5,N,Puerto Montt,Miercoles,0
Oceanair Linhas Aereas,8,I,Sao Paulo,Martes,1
Grupo LATAM,9,N,Antofagasta,Domingo,0
Sky Airline,3,N,Temuco,Viernes,0
Grupo LATAM,10,I,Sao Paulo,Miercoles,0
Grupo LATAM,3,N,Punta Arenas,Lunes,0
Grupo LATAM,10,N,Antofagasta,Lunes,0
Sky Airline,5,N,Antofagasta,Viernes,0
Sky Airline,8,N,Concepcion,Viernes,0
Latin American Wings,7,N,Concepcion,Martes,0
Grupo LATAM,2,N,La Serena,Jueves,1
Alitalia,1,I,Roma,Domingo,0
Sky Airline,12,N,Copiapo,Martes,1
Grupo LATAM,2,N,Antofagasta,Jueves,0
Sky Airline,7,N,Puerto Montt,Jueves,1
Grupo LATAM,4,I,Santa Cruz,Sabado,0
Sky Airline,3,N,Calama,Martes,0
Grupo LATAM,12,N,Calama,Lunes,1
Gol Trans,4,I,Sao Paulo,Domingo,0
Grupo LATAM,11,N,Puerto Montt,Jueves,0
JetSmart SPA,10,N,Concepcion,Martes,0
Grupo LATAM,10,N,Temuco,Sabado,0
Grupo LATAM,12,I,Buenos Aires,Lunes,0
Aerolineas Argentinas,5,I,Buenos Aires,Martes,0
Grupo LATAM,10,I,Sao Paulo,Domingo,0
Grupo LATAM,5,N,Puerto Montt,Domingo,0
Grupo LATAM,1,I,Sao Paulo,Sabado,0
Grupo LATAM,9,I,Mendoza,Lunes,1
Avianca,1,I,Lima,Miercoles,0
Sky Airline,3,N,Punta Arenas,Martes,0
Grupo LATAM,1,N,Arica,Jueves,1
Grupo LATAM,1,I,Bogota,Miercoles,0
Grupo LATAM,6,N,Antofagasta,Viernes,0
Grupo LATAM,4,I,Auckland N.Z.,Jueves,1
Sky Airline,1,N,Valdivia,Jueves,0
Grupo LATAM,1,N,Iquique,Domingo,0
Sky Airline,11,N,Puerto Montt,Martes,0
Oceanair Linhas Aereas,8,I,Sao Paulo,Jueves,0
Sky Airline,3,I,Buenos Aires,Lunes,0
Grupo LATAM,7,I,Lima,Viernes,1
Grupo LATAM,7,N,Calama,Domingo,0
Grupo LATAM,4,I,Sao Paulo,Jueves,0
Copa Air,1,I,Ciudad de Panama,Domingo,0
Sky Airline,11,N,Iquique,Miercoles,0
Grupo LATAM,5,N,Concepcion,Martes,0
Grupo LATAM,8,N,Iquique,Lunes,0
Grupo LATAM,10,I,Madrid,Sabado,0
Grupo LATAM,8,N,Concepcion,Lunes,0
Grupo LATAM,6,I,Mendoza,Domingo,0
Grupo LATAM,7,I,Sao Paulo,Miercoles,0
United Airlines,4,I,Houston,Sabado,0
Sky Airline,8,I,Lima,Lunes,0
Latin American Wings,8,N,Concepcion,Miercoles,0
Sky Airline,6,I,Lima,Lunes,0
Grupo LATAM,1,N,La Serena,Sabado,0
JetSmart SPA,12,N,Calama,Martes,0
Grupo LATAM,2,I,Asuncion,Miercoles,0
Latin American Wings,10,I,Mendoza,Lunes,1
Grupo LATAM,3,N,Temuco,Miercoles,0
Grupo LATAM,11,N,Punta Arenas,Domingo,0
Grupo LATAM,11,I,Lima,Jueves,0
Sky Airline,2,I,Buenos Aires,Domingo,0
Sky Airline,8,N,Concepcion,Viernes,0
Aerolineas Argentinas,1,I,Buenos Aires,Viernes,0
Grupo LATAM,3,I,Lima,Miercoles,0
Sky Airline,7,N,Concepcion,Lunes,0
Grupo LATAM,11,N,Concepcion,Domingo,0
British Airways,12,I,Londres,Domingo,0
Sky Airline,2,N,Arica,Martes,0
Grupo LATAM,11,N,Concepcion,Miercoles,0
Grupo LATAM,7,I,Lima,Jueves,0
Gol Trans,9,I,Sao Paulo,Jueves,0
Aerolineas Argentinas,6,I,Buenos Aires,Viernes,0
Grupo LATAM,10,I,Lima,Martes,0
Grupo LATAM,8,N,Puerto Montt,Viernes,1
Grupo LATAM,7,N,Puerto Montt,Domingo,0
Grupo LATAM,4,N,Temuco,Miercoles,0
Grupo LATAM,7,I,Buenos Aires,Miercoles,0
Grupo LATAM,6,I,Buenos Aires,Viernes,0
Air Canada,1,I,Buenos Aires,Lunes,1
Copa Air,9,I,Ciudad de Panama,Sabado,0
Grupo LATAM,11,I,Sao Paulo,Martes,0
Grupo LATAM,10,N,Copiapo,Sabado,0
Grupo LATAM,10,N,Osorno,Domingo,0
Sky Airline,8,I,Lima,Domingo,0
Avianca,5,I,Bogota,Martes,1
Grupo LATAM,8,N,Arica,Jueves,0
Grupo LATAM,5,I,Lima,Sabado,0
Grupo LATAM,7,N,Antofagasta,Domingo,0
Grupo LATAM,2,N,Iquique,Martes,0
Sky Airline,5,N,La Serena,Miercoles,0
Grupo LATAM,3,N,Calama,Lunes,0
Grupo LATAM,11,N,Iquique,Sabado,0
Grupo LATAM,8,N,Iquique,Martes,0
Sky Airline,9,N,Puerto Montt,Lunes,1
Sky Airline,10,N,Valdivia,Domingo,0
Sky Airline,12,N,Temuco,Domingo,0
Grupo LATAM,4,I,Buenos Aires,Domingo,0
Grupo LATAM,10,I,Buenos Aires,Miercoles,1
Grupo LATAM,7,N,La Serena,Miercoles,0
Grupo LATAM,9,I,Sao Paulo,Miercoles,0
Grupo LATAM,4,I,Cordoba,Lunes,1
Grupo LATAM,8,I,Sao Paulo,Miercoles,1
Aerolineas Argentinas,8,I,Buenos Aires,Viernes,0
Grupo LATAM,9,N,Concepcion,Viernes,0
Sky Airline,1,I,Buenos Aires,Martes,0
Grupo LATAM,3,I,Lima,Jueves,0
Sky Airline,11,N,Concepcion,Jueves,0
British Airways,8,I,Londres,Viernes,0
JetSmart SPA,11,N,La Serena,Domingo,0
Aerolineas Argentinas,7,I,Buenos Aires,Miercoles,1
Grupo LATAM,7,N,Calama,Sabado,0
Latin American Wings,8,I,Mendoza,Viernes,1
Grupo LATAM,10,N,Temuco,Domingo,0
Delta Air,9,I,Atlanta,Domingo,0
Sky Airline,2,N,Iquique,Domingo,0
Grupo LATAM,2,N,Temuco,Martes,1
Grupo LATAM,10,N,Temuco,Lunes,0
Oceanair Linhas Aereas,9,I,Sao Paulo,Martes,0
Grupo LATAM,10,N,Calama,Lunes,0
Grupo LATAM,5,N,Calama,Miercoles,0
Grupo LATAM,1,N,Antofagasta,Miercoles,0
Sky Airline,4,N,Concepcion,Martes,0
Sky Airline,7,I,Buenos Aires,Martes,0
Latin American Wings,11,N,Antofagasta,Lunes,1
Grupo LATAM,3,I,Lima,Sabado,0
Grupo LATAM,2,N,Iquique,Sabado,1
Grupo LATAM,3,N,Copiapo,Domingo,0
Sky Airline,7,N,Iquique,Miercoles,0
Grupo LATAM,11,N,Puerto Montt,Domingo,0
Sky Airline,10,I,Mendoza,Jueves,1
Grupo LATAM,12,I,Miami,Domingo,0
Sky Airline,2,N,La Serena,Miercoles,0
Sky Airline,3,N,La Serena,Lunes,0
Grupo LATAM,1,I,Sao Paulo,Jueves,0
Sky Airline,5,N,Puerto Montt,Jueves,0
Grupo LATAM,2,N,Antofagasta,Viernes,0
American Airlines,6,I,Dallas,Viernes,0
Grupo LATAM,12,N,Antofagasta,Viernes,0
Latin American Wings,11,N,Concepcion,Lunes,0
Air France,1,I,Paris,Domingo,0
Sky Airline,9,N,Arica,Miercoles,0
Grupo LATAM,6,I,Cordoba,Domingo,0
Grupo LATAM,3,N,Puerto Montt,Viernes,0
Grupo LATAM,4,N,Arica,Lunes,0
Aeromexico,4,I,Ciudad de Mexico,Domingo,0
Grupo LATAM,8,I,Madrid,Miercoles,0
Copa Air,12,I,Ciudad de Panama,Viernes,0
Grupo LATAM,5,I,Buenos Aires,Miercoles,0
Grupo LATAM,7,N,Puerto Montt,Domingo,1
Grupo LATAM,1,I,Buenos Aires,Miercoles,0
Grupo LATAM,6,N,Concepcion,Viernes,0
Sky Airline,5,N,Iquique,Viernes,0
Sky Airline,11,N,Calama,Viernes,0
Oceanair Linhas Aereas,11,I,Sao Paulo,Martes,1
Grupo LATAM,8,I,Buenos Aires,Jueves,0
Grupo LATAM,2,I,Sao Paulo,Domingo,0
Grupo LATAM,4,I,La Paz,Miercoles,0
Sky Airline,11,N,Concepcion,Viernes,0
Sky Airline,9,I,Montevideo,Viernes,1
Copa Air,3,I,Ciudad de Panama,Miercoles,0
Grupo LATAM,10,N,Antofagasta,Sabado,0
Sky Airline,1,N,Concepcion,Martes,0
K.L.M.,12,I,Buenos Aires,Sabado,1
Grupo LATAM,6,I,Nueva York,Jueves,0
Delta Air,12,I,Atlanta,Domingo,0
Gol Trans,3,I,Sao Paulo,Viernes,1
Grupo LATAM,5,N,Calama,Martes,0
Grupo LATAM,1,N,Puerto Montt,Sabado,0
Grupo LATAM,10,N,Antofagasta,Domingo,0
Sky Airline,12,N,Iquique,Jueves,0
Grupo LATAM,9,I,Sao Paulo,Domingo,0
Sky Airline,1,N,Puerto Montt,Viernes,0
Grupo LATAM,3,N,Puerto Montt,Lunes,0
Grupo LATAM,10,N,Temuco,Sabado,0
Grupo LATAM,8,N,Antofagasta,Viernes,0
Grupo LATAM,12,N,Puerto Montt,Jueves,0
Sky Airline,3,N,Calama,Jueves,0
Grupo LATAM,1,I,Lima,Viernes,0
Sky Airline,10,N,Arica,Martes,0
Aerolineas Argentinas,5,I,Buenos Aires,Sabado,0
Grupo LATAM,8,N,Isla de Pascua,Jueves,0
Grupo LATAM,3,N,Antofagasta,Lunes,0
Grupo LATAM,11,I,Lima,Lunes,0
Sky Airline,9,N,Temuco,Sabado,0
